Raw Value,Normalized Value,Record Count,Category,Changed,Sample Toys
"necklace","Necklace",60,"accessory",YES,"JDR48, JHK29, JHK30"
"Shoes","Shoe",38,"shoes",YES,"JBJ49, JGG38, JJN59"
"Shoes-Rt","Shoes RT",31,"shoes",YES,"JBH89, JGP21, JJV48"
"Torso-Front","Torso Front",31,"body",YES,"JJY39, JJY40, JMP74"
"Necklace","Necklace",31,"accessory",NO,"HRM35, JBH81, JBJ05"
"Belt","Belt",28,"belt",NO,"JBJ06, JBJ16, JBJ43"
"dog body Lt","Dog Body LT",28,"body",YES,"JFP36, JFP37, JFP38"
"Earring-Lt ","Earring LT",26,"accessory",YES,"JLT55, JNC38, JPL29"
"Torso-Ft","Torso FT",25,"body",YES,"JJY03, JLK25, JLP17"
"Boot-Rt","Boot RT",24,"footwear",YES,"JBH88, JBJ37, JJX75"
"Earrings-R","Earrings R",24,"earrings",YES,"JBH68, JBJ24, JJN73"
"Hat","Hat",23,"hat",NO,"JBH88, JBJ45, JGP45"
"Roof","Roof",21,"roof",NO,"JJB41, JLH84, JLH85"
"earrings lt","Earrings LT",21,"earrings",YES,"JHK32, JHK33, JHK43"
"Torso Ft","Torso FT",20,"body",YES,"JLJ10, JLV19, JLW56"
"Sunglasses","Sunglasses",20,"sunglasses",NO,"JJV59, JJX48, JJX94"
"Torso-FT","Torso FT",20,"body",YES,"JKH55, JKH56, JKH57"
"purse","Purse",20,"purse",YES,"JHK30, JLT59, JLT60"
"Shoe lt","Shoe LT",20,"footwear",YES,"JDR54, JDR55, JDR56"
"shoes rt","Shoes RT",19,"shoes",YES,"JHK43, JHK44, JHK45"
"EARRINGS-R","Earrings R",18,"earrings",YES,"JJX38, JJX39, JMP45"
"mask","Mask",18,"mask",YES,"JDR54, JDR55, JDR56"
"Torso-Ft-Upper","Torso FT Upper",18,"body",YES,"JKH62, JKH63"
"Frame","Frame",17,"frame",NO,"JBJ49, JFL61, JHL47"
"Torso-FT-Suit","Torso FT Suit",17,"body",YES,"JKH55, JKH57, JKH58"
"shoes","Shoe",17,"shoes",YES,"JFP38, JJV59, JKH57"
"belt","Belt",17,"belt",YES,"JBJ36, JDR48, JJY04"
"Drink Floaty","Drink Floaty",17,"drink",NO,"JRF17, JRF18, JRF19"
"earring lt","Earring LT",16,"accessory",YES,"JDR48, JHK30, JHL63"
"Shoe-Rt","Shoe RT",16,"footwear",YES,"JBJ43, JJX87, JMV24"
"Arm-Upper-Rt","Arm Upper RT",16,"arm",YES,"JGP21, JJY03, JKH62"
"Headband","Headband",15,"headband",NO,"JBJ05, JBJ12, JKH62"
"VISOR HAT","Visor Hat",15,"visor",YES,"JHK39, JHK40, JHK41"
"Sandals-Lt","Sandals LT",15,"sandals",YES,"JRF17, JRF18, JRF19"
"Bag","Bag",15,"bag",NO,"JJX94, JMG69, JMV17"
"Cooler cover","Cooler Cover",14,"cover",YES,"JRF17, JRF18, JRF19"
"shoes lt","Shoes LT",14,"shoes",YES,"JDR48, JHK29, JHK33"
"Hand-Rt","Hand RT",14,"hand",YES,"HYM38, JBJ31, JGP21"
"Torso-Upper-Ft","Torso Upper FT",14,"body",YES,"HYM38, JGP21, JJY15"
"Bracelet","Bracelet",14,"accessory",NO,"JGP47, JJN73, JMP53"
"horse body lt rt","Horse Body LT RT",14,"body",YES,"JHH07, JHH09"
"Bottle","Bottle",14,"bottle",NO,"JDR54, JDR55, JDR56"
"headband","Headband",14,"headband",YES,"JHK32, JJX35, JJX36"
" Earrings lt","Earrings LT",14,"earrings",YES,"JDR54, JDR55, JDR56"
"Ring","Ring",13,"accessory",NO,"JGL50, JHL49, JJN58"
"dog head Ft","Dog Head FT",13,"head",YES,"JFP36, JFP37, JFP38"
"Bodice-Ft","Bodice FT",13,"bodice",YES,"JHL50, JHL51, JLP19"
"Tiara","Tiara",13,"accessory",NO,"JJX47, JJY15, JLW56"
"bag","Bag",13,"bag",YES,"JDR48, JHK31, JHK32"
"Comb","Comb",13,"comb",NO,"JDR54, JDR55, JDR56"
"TENNIS RACQUET","Tennis Racquet",13,"tennis",YES,"JHK39, JHK40, JHK41"
"Torso-Front-lower","Torso Front Lower",13,"body",YES,"JJY39, JJY40, JMP74"
"Cape","Cape",12,"cape",NO,"JJV55, JJV56, JLJ10"
"TALL BOOTS-R","Tall Boots R",12,"tall",YES,"JMP46, JMP47"
"shoe lt","Shoe LT",12,"footwear",YES,"JPR42, JPR43, JPR44"
"Neckalce","Neckalce",11,"neckalce",NO,"JHL49, JHL50, JHL51"
"glass","Glass",11,"glass",YES,"JHK29, JHK30, JHK31"
"-","",11,"other",YES,"JFP36, JHK33, JHK34"
"Arm Rt","Arm RT",11,"arm",YES,"JGL50, JLJ10, JLV19"
"boots lt","Boots LT",11,"boots",YES,"JHK30, JHK31, JHK32"
"Skirt","Skirt",11,"clothing",NO,"JJP93, JJP94, JKH63"
"Handbag","Handbag",11,"handbag",NO,"JDR54, JDR55, JDR56"
"PLATFORM SANDALS RT","Platform Sandals RT",11,"base",YES,"JPD88, JPD89, JPD90"
"Base","Base",11,"base",NO,"JLH83, JLJ09"
"Balcony","Balcony",11,"balcony",NO,"JLT63, JLT64, JLT65"
"Crown","Crown",11,"accessory",NO,"JHL63, JJX56, JLH83"
"FD Torso Ft","Fd Torso FT",11,"body",YES,"JLT59, JRD72"
