text_id,accessory,source_sheet,shape_name,drawing_text,anchor,metadata_json
TXT-001,EARRING,EARRING,TextBox 6,1.7 mm (updated august 22),from R6C15 | to R54C44,"{""sheet"": ""EARRING"", ""shape_name"": ""TextBox 6"", ""anchor"": {""from"": {""col"": 14, ""colOff"": 519546, ""row"": 5, ""rowOff"": 69273}, ""to"": {""col"": 43, ""colOff"": 62729, ""row"": 53, ""rowOff"": 17318}}}"
TXT-002,NECKLACE,NECKLACE,TextBox 13,Desin Refference,from R13C1 | extent 124x28px,"{""sheet"": ""NECKLACE"", ""shape_name"": ""TextBox 13"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 525236, ""row"": 12, ""rowOff"": 20410}, ""extent"": {""cx"": 1180964, ""cy"": 264560, ""width_px"": 124, ""height_px"": 28}}}"
TXT-003,NECKLACE,NECKLACE,TextBox 12,Opening standard,from R13C18 | extent 129x28px,"{""sheet"": ""NECKLACE"", ""shape_name"": ""TextBox 12"", ""anchor"": {""from"": {""col"": 17, ""colOff"": 239486, ""row"": 12, ""rowOff"": 20410}, ""extent"": {""cx"": 1233479, ""cy"": 264560, ""width_px"": 129, ""height_px"": 28}}}"
TXT-004,NECKLACE,NECKLACE,TextBox 5,HHN06-U831-01 --> slider 4 cav,from R15C1 | extent 209x28px,"{""sheet"": ""NECKLACE"", ""shape_name"": ""TextBox 5"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 429985, ""row"": 14, ""rowOff"": 6803}, ""extent"": {""cx"": 1989006, ""cy"": 264560, ""width_px"": 209, ""height_px"": 28}}}"
TXT-005,NECKLACE,NECKLACE,TextBox 9,"HHN08-U514-01 --> gate shape Y, no slider, 4 cav",from R15C10 | extent 319x28px,"{""sheet"": ""NECKLACE"", ""shape_name"": ""TextBox 9"", ""anchor"": {""from"": {""col"": 9, ""colOff"": 117020, ""row"": 14, ""rowOff"": 6804}, ""extent"": {""cx"": 3038076, ""cy"": 264560, ""width_px"": 319, ""height_px"": 28}}}"
TXT-006,NECKLACE,NECKLACE,TextBox 11,HHN09-U514-01 --> T runner no slider 4 cavity,from R31C1 | extent 301x28px,"{""sheet"": ""NECKLACE"", ""shape_name"": ""TextBox 11"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 402771, ""row"": 30, ""rowOff"": 20410}, ""extent"": {""cx"": 2868157, ""cy"": 264560, ""width_px"": 301, ""height_px"": 28}}}"
TXT-007,NECKLACE,NECKLACE,TextBox 21,CHG42 --> COULD BE 4 CAV,from R33C9 | to R35C14,"{""sheet"": ""NECKLACE"", ""shape_name"": ""TextBox 21"", ""anchor"": {""from"": {""col"": 8, ""colOff"": 599834, ""row"": 32, ""rowOff"": 106985}, ""to"": {""col"": 13, ""colOff"": 95250, ""row"": 34, ""rowOff"": 100126}}}"
TXT-008,BACKPACK ASSY,Backpack assy,TextBox 11,Locking on hole Ø3.2,from R14C1 | extent 211x39px,"{""sheet"": ""Backpack assy"", ""shape_name"": ""TextBox 11"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 33617, ""row"": 13, ""rowOff"": 33618}, ""extent"": {""cx"": 2005742, ""cy"": 374141, ""width_px"": 211, ""height_px"": 39}}}"
TXT-009,BACKPACK ASSY,Backpack assy,TextBox 12,Mushroom Ø3.4,from R23C4 | extent 184x39px,"{""sheet"": ""Backpack assy"", ""shape_name"": ""TextBox 12"", ""anchor"": {""from"": {""col"": 3, ""colOff"": 22411, ""row"": 22, ""rowOff"": 168089}, ""extent"": {""cx"": 1749261, ""cy"": 374141, ""width_px"": 184, ""height_px"": 39}}}"
TXT-010,STD ELECTRODE PTMI,STD Electrode PTMI,TextBox 10,40mm,from R1C1 | to R21C6,"{""sheet"": ""STD Electrode PTMI"", ""shape_name"": ""TextBox 10"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 0, ""rowOff"": 0}, ""to"": {""col"": 5, ""colOff"": 149198, ""row"": 20, ""rowOff"": 96171}}}"
TXT-011,STD ELECTRODE PTMI,STD Electrode PTMI,TextBox 19,Ø7mm,from R1C1 | to R21C6,"{""sheet"": ""STD Electrode PTMI"", ""shape_name"": ""TextBox 19"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 0, ""rowOff"": 0}, ""to"": {""col"": 5, ""colOff"": 149198, ""row"": 20, ""rowOff"": 96171}}}"
TXT-012,STD ELECTRODE PTMI,STD Electrode PTMI,TextBox 21,Standard electrode PTMI,from R1C1 | to R21C6,"{""sheet"": ""STD Electrode PTMI"", ""shape_name"": ""TextBox 21"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 0, ""rowOff"": 0}, ""to"": {""col"": 5, ""colOff"": 149198, ""row"": 20, ""rowOff"": 96171}}}"
TXT-013,STD ELECTRODE PTMI,STD Electrode PTMI,TextBox 22,Flat Surface Add 2 hole for M6,from R1C1 | to R21C6,"{""sheet"": ""STD Electrode PTMI"", ""shape_name"": ""TextBox 22"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 0, ""row"": 0, ""rowOff"": 0}, ""to"": {""col"": 5, ""colOff"": 149198, ""row"": 20, ""rowOff"": 96171}}}"
TXT-014,HAIR CLIP,Hair clip,TextBox 27,HNF84-U513-01,from R10C1 | to R19C6,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 393010, ""row"": 9, ""rowOff"": 116788}, ""to"": {""col"": 5, ""colOff"": 314958, ""row"": 18, ""rowOff"": 82830}}}"
TXT-015,HAIR CLIP,Hair clip,TextBox 27,Design refference,from R10C1 | to R19C6,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 393010, ""row"": 9, ""rowOff"": 116788}, ""to"": {""col"": 5, ""colOff"": 314958, ""row"": 18, ""rowOff"": 82830}}}"
TXT-016,HAIR CLIP,Hair clip,TextBox 33,Notch,from R10C1 | to R19C6,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 33"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 393010, ""row"": 9, ""rowOff"": 116788}, ""to"": {""col"": 5, ""colOff"": 314958, ""row"": 18, ""rowOff"": 82830}}}"
TXT-017,HAIR CLIP,Hair clip,TextBox 36,coring,from R10C1 | to R19C6,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 36"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 393010, ""row"": 9, ""rowOff"": 116788}, ""to"": {""col"": 5, ""colOff"": 314958, ""row"": 18, ""rowOff"": 82830}}}"
TXT-018,HAIR CLIP,Hair clip,TextBox 40,coring,from R10C1 | to R19C6,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 40"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 393010, ""row"": 9, ""rowOff"": 116788}, ""to"": {""col"": 5, ""colOff"": 314958, ""row"": 18, ""rowOff"": 82830}}}"
TXT-019,HAIR CLIP,Hair clip,TextBox 42,bump,from R10C1 | to R19C6,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 42"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 393010, ""row"": 9, ""rowOff"": 116788}, ""to"": {""col"": 5, ""colOff"": 314958, ""row"": 18, ""rowOff"": 82830}}}"
TXT-020,HAIR CLIP,Hair clip,TextBox 45,Rib Hor/ver OK,from R10C1 | to R19C6,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 45"", ""anchor"": {""from"": {""col"": 0, ""colOff"": 393010, ""row"": 9, ""rowOff"": 116788}, ""to"": {""col"": 5, ""colOff"": 314958, ""row"": 18, ""rowOff"": 82830}}}"
TXT-021,HAIR CLIP,Hair clip,TextBox 27,HLW18-Q502-01,from R10C6 | to R29C11,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 216594, ""row"": 9, ""rowOff"": 83657}, ""to"": {""col"": 10, ""colOff"": 414367, ""row"": 28, ""rowOff"": 1902}}}"
TXT-022,HAIR CLIP,Hair clip,TextBox 27,Good projection area no slider,from R10C6 | to R29C11,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 216594, ""row"": 9, ""rowOff"": 83657}, ""to"": {""col"": 10, ""colOff"": 414367, ""row"": 28, ""rowOff"": 1902}}}"
TXT-023,HAIR CLIP,Hair clip,TextBox 27,HLX34-U512-01,from R10C6 | to R29C11,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 216594, ""row"": 9, ""rowOff"": 83657}, ""to"": {""col"": 10, ""colOff"": 414367, ""row"": 28, ""rowOff"": 1902}}}"
TXT-024,HAIR CLIP,Hair clip,TextBox 27,Layout refference,from R10C6 | to R29C11,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 216594, ""row"": 9, ""rowOff"": 83657}, ""to"": {""col"": 10, ""colOff"": 414367, ""row"": 28, ""rowOff"": 1902}}}"
TXT-025,HAIR CLIP,Hair clip,TextBox 27,Slider,from R10C6 | to R29C11,"{""sheet"": ""Hair clip"", ""shape_name"": ""TextBox 27"", ""anchor"": {""from"": {""col"": 5, ""colOff"": 216594, ""row"": 9, ""rowOff"": 83657}, ""to"": {""col"": 10, ""colOff"": 414367, ""row"": 28, ""rowOff"": 1902}}}"
TXT-026,SHOES,SHOES,TextBox 22,Shoe Type,from R1C13 | to R3C27,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 22"", ""anchor"": {""from"": {""col"": 12, ""colOff"": 201682, ""row"": 0, ""rowOff"": 169379}, ""to"": {""col"": 26, ""colOff"": 552450, ""row"": 2, ""rowOff"": 38099}}}"
TXT-027,SHOES,SHOES,TextBox 1,Shoe,from R3C15 | to R4C16,"{""sheet"": ""SHOES"", ""shape_name"": ""TextBox 1"", ""anchor"": {""from"": {""col"": 14, ""colOff"": 115957, ""row"": 2, ""rowOff"": 140804}, ""to"": {""col"": 15, ""colOff"": 472108, ""row"": 3, ""rowOff"": 190499}}}"
