reference_id,source_sheet,source_row,Toy No,Tools,Build year,Built by,"Handring parts dimension
(Model)","Handring parts dimension
(Actual)",VUM,Hand ring drill,Remark ,Production,evidence_image_ids,related_image_count
REF-HANDRING-001,HANDRING,2,DGW46,DGW46-Q052-01,2019,NHT,1.5,1.53,NO,1.7,,EOT 7/24/21,IMG-004; IMG-005,2
REF-HANDRING-002,HANDRING,3,GTJ95,GTJ95-U832-01,2013,MTI,1.5,,NO,1.8,,,IMG-004; IMG-005,2
REF-HANDRING-003,HANDRING,4,GHT91,FJH75-K511-01,2013,MTI,1.6,1.62,YES,1.8,,,IMG-004; IMG-005,2
REF-HANDRING-004,HANDRING,5,GTJ87,1953-Q502-01,2019,NHT,N/A,1.5,,1.8,,,IMG-004; IMG-005,2
REF-HANDRING-005,HANDRING,6,GTJ88,1953-Q502-01,2019,NHT,N/A,1.5,,1.8,,,IMG-004; IMG-005,2
REF-HANDRING-006,HANDRING,7,GXL24,1953-Q502-01,2019,NHT,N/A,1.5,,1.8,,,IMG-004; IMG-005,2
REF-HANDRING-007,HANDRING,8,GTJ85,FJH75-K511-01,2013,MTI,1.6,1.62,,1.9,,EOT 8/14/21,IMG-004; IMG-005,2
REF-HANDRING-008,HANDRING,9,GXL18,No hand ring,0,0,,,,2,,,IMG-004; IMG-005,2
REF-HANDRING-009,HANDRING,10,GHT91,GHT91-K511-01,N/A,N/A,1.6,1.6,VUM,2.0,,RE-run : 10/16 and 10/13 qty 14.7,IMG-004; IMG-005,2
REF-HANDRING-010,HANDRING,11,HJX01,FJH75-K511-01,2013,MTI,1.6,1.62,,,,,IMG-004; IMG-005,2
REF-HANDRING-011,HANDRING,12,HJX18,HBY13-U512-01,2013,MTI,,,,,,,IMG-004; IMG-005,2
REF-HANDRING-012,HANDRING,13,HJX41,DGW74-Q502,2019,NHT,,,,,,,IMG-004; IMG-005,2
REF-HANDRING-013,HANDRING,14,HBY01,HBY01-U513-01,2013,MTI,,,,,,,IMG-004; IMG-005,2
